TitlePrefix,Season,Run Time,Release Date on Netflix,Production Date,Released at once,Netflix show,Genre 1,Genre 2,Genre 3
The Office,Season 1,0:22:00,01.01.2021,14.06.2005,Non-Bingeable Schedule,Non-Netflix,Comedy,Sitcoms,
Friends,Season 1,0:22:00,,22.09.1994,,Non-Netflix,Comedy,Romance,
Brooklyn Nine-Nine,Season 1,0:22:00,07.03.2016,17.09.2013,Non-Bingeable Schedule,Non-Netflix,Comedy,Crime,Sitcoms
Grey's Anatomy,Season 1,0:41:00,07.03.2016,27.03.2005,Non-Bingeable Schedule,Non-Netflix,Medical TV,Romantic TV Dramas,Dramas
Family Guy,Season 1,0:22:00,,31.01.1999,,Non-Netflix,Animation,Comedy,
Modern Family,Season 1,0:22:00,,,,Non-Netflix,Comedy,Drama,Romance
How I Met Your Mother,Season 1,0:22:00,,19.09.2005,,Non-Netflix,Comedy,Drama,Romance
Suits,Season 1,0:44:00,07.03.2016,03.10.2011,Non-Bingeable Schedule,Non-Netflix,Dramas,Courtroom TV,Comedies
Pretty Little Liars,Season 1,0:44:00,07.03.2016,08.06.2010,Non-Bingeable Schedule,Non-Netflix,Romantic TV Dramas,Dramas,Based on Books
Gilmore Girls,Season 1,0:44:00,Unsure,27.05.2007,Bingeable Schedule,Non-Netflix,Romantic TV Dramas,Dramas,Teen
Gossip Girl,Season 1,0:42:00,,19.09.2007,,Non-Netflix,Drama,Romance,
Breaking Bad,Season 1,0:49:00,Unsure,20.01.2008,,Non-Netflix,Dramas,Crime,Thriller
Full House,Season 1,0:22:00,02.06.2021,10.03.1987,Bingeable Schedule,Non-Netflix,Sitcoms,Family,Comedies
Riverdale,Season 1,0:45:00,28.01.2017,27.01.2017,,Netflix,Dramas,Teen,Mysteries
The Fresh Prince of Bel-Air,Season 1,0:22:00,,10.09.1990,,Non-Netflix,Comedy,,
Schitt's Creek,Season 1,0:22:00,,13.01.2015,,Non-Netflix,Comedy,,
Community,Season 1,0:22:00,01.04.2020,17.09.2009,Bingeable Schedule,Non-Netflix,Sitcoms,Comedies,
New Girl,Season 1,0:22:00,,20.09.2011,,Non-Netflix,Comedy,Romance,
Superstore,Season 1,0:22:00,15.01.2021,30.11.2015,Non-Bingeable Schedule,Non-Netflix,Sitcoms,Comedies,
Shameless (U.S.),Season 1,0:46:00,04.03.2017,09.01.2011,Non-Bingeable Schedule,Non-Netflix,Dramas,Comedies,
Stranger Things,Season 1,0:51:00,15.07.2016,15.07.2016,Non-Bingeable Schedule,Netflix,Sci-Fi,Teen,Horror
The Flash,Season 1,0:43:00,01.09.2018,07.10.2014,Non-Bingeable Schedule,Non-Netflix,Sci-Fi,Action,Based on Comics
Star Trek,Season 1,0:50:00,02.07.2016,04.10.1998,Bingeable Schedule,Non-Netflix,Family,Action,
Teen Titans Go!,Season 1,0:10:00,01.05.2016,06.09.2013,Non-Bingeable Schedule,Non-Netflix,Kids,Comedies,TV Cartoons
