crawl_date,keyword,show_id
2024-04-17T16:43,"brother sister relationship,female full frontal nudity,family relationships,brother brother relationship,dysfunctional family,alcoholic father,gay relationship,alcoholic,poor family,boyfriend girlfriend relationship,female nudity,gay brother,raised by one's sibling,gay,gay teenager,gay character,irresponsible father,male nudity,large family,mental illness,working class family,american remake,based on british tv series,female frontal nudity,absent mother,remake,degeneracy,dark comedy,female rear nudity,first menstruation,bar,drug addiction,poverty,dishonesty,drunken father,teenage sex,chicago illinois,cheating girlfriend,nudity,gay son,domestic violence,sex talk,interracial couple,gay sex,boyfriend boyfriend relationship,gay wedding,erotica,homoerotism,young man,red haired",tt1586680
2024-04-17T16:43,"husband wife relationship,law student,courtroom,gay character,murder,sex,murder suspect,college professor,female professor,law professor,attorney,criminal attorney,student teacher relationship,hiv positive character,student,affair,trophy,court case,legal system,woman attorney,defense attorney,lawyers breaking the law,interracial marriage,female protagonist,african american woman,whodunnit mystery,suspense mystery,gay interest,lesbian interest,lgbt,lgbtq series,strong female lead,academia drama,bisexual woman,bisexual,lesbian relationship,bisexual protagonist,bisexual female protagonist,gay kiss,gay relationship,gay,lgbt character,legal thriller,lecture room,six word title,2010s",tt3205802
2024-04-17T16:43,"adult animation,spy,espionage,violence,domineering mother,retro style secret agent,fictional spy agency,promiscuous mother,sexual ambiguity,gay,mad scientist,pistol,krav maga,martial arts,parody,machine gun,mother son relationship,spy spoof,sarcasm,womanizer,co workers who hate each other,character name as series title,surname as series title,manchild,campy,male protagonist,dating,old flame,sterling archer character,alcoholism,lana kane character,sexual humor,for grown ups animation,parody comedy,sitcom comedy,1970s,20th century,2d animation,mature animation,nudity,james bond spoof,sexually aggressive woman,butler,oedipus complex,overbearing brother,freudian slip,condominium,nepotism",tt1486217
2024-04-17T16:43,"friendship,shounen,training,based on manga,fight,anime,villain,anti hero,child fights an adult,anime animation,quest adventure,supernatural fantasy,mature animation,for grown ups animation,2d animation,asian comics literature on screen,shonen anime animation,tournament,japanese comics literature on screen,superpower,2010s,21st century,reboot",tt2098220
2024-04-17T16:43,"f1,formula 1,motor sports,car race,championship,race,racing,winning,fame,multi millionaire sportsman,machismo,speed,steering wheel,risk taker,car,car driver,racecourse,drive,tournament,motorsports sport,sports documentary,driver,track,vehicle,engine,docuseries documentary,digit in title,number 1 in title,number in title",tt8289930
2024-04-17T16:43,"drug cartel,colombia,drug lord,gangster,cocaine,brutality,cocaine lab,based on true story,murder,deception,jungle,police officer,guerilla,payoff,police shootout,mexico,true crime,south america,latin america,death,criminal,blood,violence,mob,drug,drugs,cruelty,shot to death,police,danger,money,mob boss,homicide,killing,explosion,drug trafficking,crime boss,cali colombia,medellin colombia,organized crime,criminal organization,mafia boss,mafia,gangster boss,weapon,firearm,gun,revolver,revenge,vengeance",tt2707408
2024-04-17T16:43,"miami florida,virginity,pregnant virgin,lesbian affair,lesbian relationship,rich man poor woman,artificial insemination,unplanned pregnancy,pregnancy,family relationships,single mother,younger version of character,forename in series title,2010s,21st century,high concept comedy,character name in series title,television star,mother daughter relationship,female female kiss,insemination",tt3566726
2024-04-17T16:43,"bleeding from eyes,anime,battle,blood,bridge,brother brother relationship,brutality,cave,clone,death,desert,explosion,eyes,fight,fight to the death,flashback,forest,good versus evil,illusion,impostor,loss of control,mask,masked villain,mission,mysterious villain,near death experience,poison,power,psychopath,puppet,revelation,revenge,sadism,sadist,saga,sand,showdown,supernatural power,tears,training,battlefield,betrayal,curse,death of loved one,death of parents,enemy,evil,eye gouging,friend,friendship",tt0988824
2024-04-17T16:43,"canadian content,horseback riding,cattle ranch,family relationships,diner owner,cowboy,rodeo rider,female rodeo rider,horse show,horse jumping,scenic beauty,dude ranch,veterinarian,family business,multi generational saga,teenage girl,grandfather,small town,death of mother,domestic drama,2010s,21st century,calgary alberta canada,new york city,dysfunctional family,franchise,female veterinarian,holistic medicine,police chief,wildlife preserve,log cabin,neurotic woman,controlling husband,behavior,alberta canada,treatment,ex convict,based on novella",tt1094229
2024-04-17T16:43,"addiction,chess,female protagonist,talented child,orphanage,1950s,1960s,rags to riches,tv mini series,tranquilizer,alcohol,alcoholism,psychological drama,competition,strong female lead,chess world championship,simultaneous chess,speed chess,mexico city,paris france,moscow russia,love,las vegas nevada,grand master,beer,teacher,volkswagen beetle,airplane,reporter,life magazine,camera,friend,pharmacy,christians,magazine,board game,chessboard,period drama,coming of age drama,academia drama,epic drama,championship,coming of age,web series,period piece,20th century,introverted protagonist,death of mother,lesbianism,queen",tt10048342
2024-04-17T16:43,"hospital,misanthropy,prescription drug abuse,cult favorite,medical drama,medical doctor,maverick doctor,british actor playing american character,doctor,patient,medicine,misanthrope,colleague,dark comedy,camera shot from inside human body,mysterious illness,atheist,surgery,health problem,female doctor,deduction,black doctor,human anatomy,medical treatment,medical examination,medical clinic,illness,sarcasm,brilliant mind,character name as series title,surname as series title,cult tv,african american,black american,male protagonist,2000s,2010s,21st century,bisexual character,bisexual female character,pain,latex gloves,medical mask,sex talk,sexual humor,humor,vital signs,magnetic resonance imaging,medical profession,sudden illness",tt0412142
2024-04-17T16:43,"strong female lead,mind control,private investigator,super strength,private detective,based on comic book,based on comic,superheroine,female protagonist,supernatural power,shared universe,legal case,support group,superpower,bus crash,radio show host,track star,lawyer,surveillance,being followed,new york city,junkie,british villain,former child star,car accident,orphan,old apartment building,self medicating,childhood home,manipulation,stage mother,best friend,emotional blackmail,coercion,street name,anxiety technique,rape,consent,abuse,abusive boyfriend,abusive mother,guilt,narcissist,heavy drinker,foster sister,dead wife,jessica jones character,patsy walker character,superhero action,superhero",tt2357547
2024-04-17T16:43,"frank castle character,based on comic book,the punisher character,military veteran,new york city,revenge,superhero action,vigilante,shared universe,anti hero,government corruption,conspiracy,government cover up,drug smuggling,complicity,cia agent,afghanistan,war on terrorism,government conspiracy,drug trafficking,nsa,corruption,homeland security,hacker,cover up,cia drug trafficking,torture,neo noir,superhero,male protagonist,cia central intelligence agency,ptsd post traumatic stress disorder,cigarette smoking,extreme violence,religious fanatic,antihero,cia conspiracy,central intelligence agency,cia,gritty,2010s,action hero,web series,brutality,gore,villain,supervillain,criminal,veteran,male veteran",tt5675620
2024-04-17T16:43,"vigilante,superhero,blind man,ninja,lawyer,based on comic book,daredevil the marvel comics character,neo noir,crime boss,hell's kitchen manhattan new york city,matt murdock character,wilson fisk a.k.a. kingpin character,one against many,blood,masked man,reporter,catholic,hand to hand combat,based on comic,foggy nelson character,one man army,2010s,superhero action,violence,cane,corruption,partnership,nurse,secret identity,yakuza,shared universe,karen page character,new york city,fictional character,red suit,red armour,prison fight,blindness,male protagonist,the punisher character,elektra natchios character,newspaper,crime organization,bullseye character,cult tv,boxing,fbi agent,nypd,detective,martial arts",tt3322312
2024-04-17T16:43,"foreign language adaptation,based on tv series,entrepreneur,inventor,invention,sales pitch,investor,investment,negotiation,product demonstration,percentages,two word title,question and answer,business proposal,catchphrase,handshake,negotiating a deal,lift,nervous,gadget,concept,product,business and occupation reality tv,business game show,non fiction",tt0443370
2024-04-17T16:43,"friendship,detective,genius,murder,modernized setting,based on novel,sherlock holmes,deduction,british,consulting detective,asexual interest,brilliant mind,doctor,scotland yard,private detective,investigation,police detective,sociopath,platonic relationship,friendship between men,sherlock holmes character,dr. john watson character,asexual,intelligent man,bromance,forename as title,one word title,asexual protagonist,gay character,gay antagonist,lesbian character,partner,inspector,army doctor,apartment,london england,police inspector,landlady,mastermind,mysterious villain,science,brother brother relationship,male protagonist,friends who live together,series title spoken by character,modern day adaptation,scene of the crime,afghanistan war veteran,whodunnit mystery,21st century",tt1475582
2024-04-17T16:43,"love,year in title,2010s,2020s,japanese reality show,tokyo,non fiction,number in title",tt10686814
2024-04-17T16:43,"based on comic,teen titans,friendship,self discovery,surrogate family,friend,based on comic book,road trip,teenage superhero,shared universe,family by choice,self acceptance,coming of age,foster family,raven character,dick grayson character,robin character,nightwing character,starfire character,beast boy character,hawk character,dove character,jason todd character,legacy character,wonder girl character,donna troy character,superboy character,conner kent character,deathstroke character,san francisco california,supernatural power,psychotronic series,superhuman strength,young boy,young girl,teenage boy,teenage girl,city,power,weapon,group,team,fight,gritty,trigon character,rose wilson character,scarecrow character,batman character,gotham city,british actor playing american character",tt1043813
2024-04-17T16:43,"chipmunk,bully,school,computer animation,3d animation,bullying,brother brother relationship,father son relationship,school bully,troublemaker,teacher,cartoon,cartoon series,reboot,nickelodeon,2010s,argument,offence,anger,anger management,anger issues,outrage,anxiety,parenting,family relationships,daddy issues,rock music,hip hop,r&b,suffering,rivalry,alvin and the chipmunks characters,cartoon chipmunk,trio,exclamation point in title,animal in title,catchphrase,single father,pop music,theme song,anthropomorphic animal,cap,eyeglasses,sweatshirt,intelligence,jeans,sneakers,student,talking animal,red cap",tt3496230
2024-04-17T16:43,"troll,amulet,teenage hero,computer animation,based on novel,absent father,teenage boy,magical sword,secret life,best friend,good versus evil,shared universe,superhero,web series,dreamworks,male protagonist,magic,cgi animation,teenage girl,3d animation,hero,villain,staff,exploration,weapon,sword,monster,power,shield,creature,fight,supernatural fantasy,sword and sorcery fantasy,dark fantasy,cg animation,mother son relationship,mentor protege relationship,bridge,changeling,armor",tt1734135
2024-04-17T16:43,"based on novel,psychotronic series",tt2647586
