TitlePrefix,show_id,genre
Shameless (U.S.),tt1586680,
Jane The Virgin,tt3566726,
Naruto Shippuden,tt0988824,
How to Get Away With Murder,tt3205802,
Narcos,tt2707408,
Hunter X Hunter (2011),tt2098220,
Archer,tt1486217,
Formula 1,tt8289930,
Dragons' Den,tt0443370,
Heartland,tt1094229,
"House, M.D.",tt0412142,
Marvel's Daredevil,tt3322312,
The Queen's Gambit,tt10048342,
Marvel's Jessica Jones,tt2357547,
Marvel's The Punisher,tt5675620,
MINDHUNTER,tt5290382,
Sherlock,tt1475582,
Terrace House,tt10686814,
Titans,tt1043813,
ALVINNN!!! And the Chipmunks,tt3496230,
Trollhunters,tt1734135,
Resurrection,tt2647586,
F is for Family,tt4326894,
Inventing Anna,tt8740976,
Project McÂ²,tt4861760,
Marvel's Luke Cage,tt3322314,
Marvel's Iron Fist,tt3322310,
One-Punch Man,tt4508902,
LEGO,tt9615014,
Glow Up,tt9680524,
My Next Guest Needs No Introduction With David Letterman,tt7829834,
Magi,tt2425098,
Barbie Life in the Dreamhouse,tt2644032,
Octonauts,tt1710177,
Love (ft. Marriage and Divorce),tt13814840,
Heroes,tt0813715,
Scream,tt3921180,
Haters Back Off,tt5467814,
Timeless,tt5511582,
Greatest Events of WWII in Colour,tt9103932,
"Pablo Escobar, el patrÃ³n del mal",tt2187850,
Inside the Worldâ€™s Toughest Prisons,tt6322264,
Dora the Explorer,tt0235917,
Your lie in April,tt3895150,
BAKI,tt6357658,
Love Is in the Air,tt6951562,
Casual,tt4577466,
Car Masters,tt8893550,
0.03,tt4922804,
Do Do Sol Sol La La Sol,tt12850262,
R.L. Stine's The Haunting Hour,tt1765510,
I AM A KILLER,tt8300324,
School of Rock,tt4129004,
Norsemen,tt5905354,
Marvel's The Defenders,tt4230076,
Marvel's Agents of S.H.I.E.L.D.,tt2364582,
Lee Daniels' Star,tt4941240,
Surviving Escobar - Alias JJ,tt6809396,
Great News,tt4955480,
Abby Hatcher,tt9433014,
Cold Case Files Classic,tt6459472,
Kill la Kill,tt3114390,
Walking with Dinosaurs,tt0214382,
PIECES OF HER,tt9170236,
Maid-Sama!,tt1634208,
PokÃ©mon Master Journeys,tt15416672,
Get Organized with The Home Edit,tt10834478,
L.A.â€™s Finest,tt7555294,
Maggie & Bianca,tt6155478,
