TitlePrefix,imdbID,genre
The Office,tt0386676,Comedy
Friends,tt0108778,"Comedy,Romance"
Brooklyn Nine-Nine,tt2467372,"Comedy,Crime"
Grey's Anatomy,tt0413573,"Drama,Romance"
Family Guy,tt0182576,"Animation,Comedy"
Modern Family,tt1442437,"Comedy,Drama,Romance"
How I Met Your Mother,tt0460649,"Comedy,Drama,Romance"
Suits,tt1632701,"Comedy,Drama"
Pretty Little Liars,tt1578873,"Drama,Mystery,Romance"
Gilmore Girls,tt0238784,"Comedy,Drama"
Gossip Girl,tt0397442,"Drama,Romance"
Breaking Bad,tt0903747,"Crime,Drama,Thriller"
Full House,tt0092359,"Comedy,Drama,Family"
Riverdale,tt5420376,"Crime,Drama,Mystery"
The Fresh Prince of Bel-Air,tt0098800,Comedy
Schitt's Creek,tt3526078,Comedy
Community,tt1439629,Comedy
New Girl,tt1826940,"Comedy,Romance"
Superstore,tt4477976,Comedy
Shameless (U.S.),,
Stranger Things,tt4574334,"Drama,Fantasy,Horror"
The Flash,tt3107288,"Action,Adventure,Drama"
Star Trek,tt0060028,"Action,Adventure,Sci-Fi"
Teen Titans Go!,tt2771780,"Action,Adventure,Animation"
Glee,tt1327801,"Comedy,Drama,Music"
Arrested Development,tt0367279,Comedy
Lucifer,tt4052886,"Crime,Drama,Fantasy"
Jane The Virgin,,
Fuller House,tt3986586,"Comedy,Drama,Family"
Prison Break,tt0455275,"Action,Crime,Drama"
The Blacklist,tt2741602,"Crime,Drama,Mystery"
Parks and Recreation,tt1266020,Comedy
SpongeBob SquarePants,tt0206512,"Animation,Comedy,Family"
13 Reasons Why,tt1837492,"Drama,Mystery,Thriller"
The Walking Dead,tt1520211,"Drama,Horror,Thriller"
Naruto,tt0409591,"Action,Adventure,Animation"
Victorious,tt1604099,"Comedy,Drama,Family"
The Fosters,tt2262532,"Drama,Romance"
The Vampire Diaries,tt1405406,"Drama,Fantasy,Horror"
That '70s Show,tt0165598,"Comedy,Drama,Romance"
Orange Is the New Black,tt2372162,"Comedy,Crime,Drama"
Naruto Shippuden,,
iCarly,tt0972534,"Comedy,Family,Romance"
Ozark,tt5071412,"Crime,Drama,Thriller"
How to Get Away With Murder,,
The 100,tt2661044,"Drama,Mystery,Sci-Fi"
You,tt7335184,"Crime,Drama,Romance"
The Good Place,tt4955642,"Comedy,Drama,Fantasy"
The Mindy Project,tt2211129,Comedy
The Crown,tt4786824,"Biography,Drama,History"
This Is Us,tt5555260,"Comedy,Drama,Romance"
Narcos,,
Seinfeld,tt0098904,Comedy
Outer Banks,tt10293938,"Action,Crime,Drama"
American Dad!,tt0397306,"Animation,Comedy"
Life in Pieces,tt4384086,Comedy
Scandal,tt1837576,"Drama,Thriller"
Downton Abbey,tt1606375,"Drama,Romance"
Kim's Convenience,tt5912064,Comedy
Peaky Blinders,tt2442560,"Crime,Drama"
Money Heist,tt6468322,"Action,Crime,Drama"
Trailer Park Boys,tt0290988,"Comedy,Crime"
90210,tt1225901,"Comedy,Drama,Romance"
Big Mouth,tt6524350,"Animation,Comedy,Romance"
Dynasty,tt6128300,Drama
My Little Pony,,
Supernatural,tt0460681,"Drama,Fantasy,Horror"
Once Upon a Time,tt1843230,"Adventure,Fantasy,Romance"
PAW Patrol,tt3121722,"Adventure,Animation,Comedy"
LEGO Ninjago,,
Sex Education,tt7767422,"Comedy,Drama,Romance"
Squid Game,tt10919420,"Action,Drama,Mystery"
Manifest,tt8421350,"Drama,Mystery,Sci-Fi"
Better Call Saul,tt3032476,"Crime,Drama"
Grace and Frankie,tt3609352,Comedy
Never Have I Ever,tt10062292,"Comedy,Drama"
House of Cards,tt1856010,Drama
Hunter X Hunter (2011),,
Sons of Anarchy,tt1124373,"Crime,Drama,Thriller"
Young Sheldon,tt6226232,Comedy
Too Hot to Handle,tt12004280,"Game-Show,Reality-TV,Romance"
The Good Wife,tt1442462,"Crime,Drama,Mystery"
Love Is Blind,tt11704040,"Reality-TV,Romance"
The Umbrella Academy,tt1312171,"Action,Adventure,Comedy"
Archer,,
Bridgerton,tt8740790,"Drama,Romance"
Emily in Paris,tt8962124,"Comedy,Drama,Romance"
Switched at Birth,tt1758772,"Drama,Family,Romance"
Supergirl,tt4016454,"Action,Adventure,Drama"
BoJack Horseman,tt3398228,"Animation,Comedy,Drama"
Designated Survivor,tt5296406,"Action,Drama,Mystery"
Selling Sunset,tt9817298,Reality-TV
Outlander,tt3006802,"Drama,Fantasy,Romance"
On My Block,tt7879820,"Comedy,Drama"
Formula 1,,
Black Mirror,tt2085059,"Drama,Mystery,Sci-Fi"
Miraculous,tt26563458,Comedy
Sam & Cat,tt2487090,"Comedy,Drama,Family"
Blindspot,tt4474344,"Action,Crime,Drama"
H2O,tt0410055,Drama
Murdoch Mysteries,tt1091909,"Crime,Drama,Mystery"
Gotham,tt3749900,"Action,Crime,Drama"
The Seven Deadly Sins,tt3909224,"Action,Adventure,Animation"
Bones,tt0460627,"Crime,Drama,Mystery"
Virgin River,tt9077530,"Drama,Romance"
Vikings,tt2306299,"Action,Adventure,Drama"
Last Man Standing,tt1828327,Comedy
Animal Kingdom,tt5574490,"Crime,Drama"
The Secret Life of the American Teenager,tt1179817,"Comedy,Drama,Family"
Shark Tank,tt1442550,"Family,Game-Show,Reality-TV"
RuPaul's Drag Race,tt1353056,"Game-Show,Reality-TV"
Forensic Files,tt0247882,"Crime,Documentary"
Good Girls,tt6474378,"Comedy,Crime,Drama"
The Ranch,tt4998212,"Comedy,Drama,Western"
Merlin,,
Dragons' Den,,
Bob's Burgers,tt1561755,"Animation,Comedy"
Peppa Pig,tt0426769,"Adventure,Animation,Comedy"
Sword Art Online,,
Black Money Love,tt3565486,"Action,Crime,Drama"
Heartland,,
Blue Mountain State,tt1344204,"Comedy,Sport"
Drop Dead Diva,tt1280822,"Comedy,Drama"
The Disastrous Life of Saiki K.,tt6354518,"Animation,Comedy,Fantasy"
"Nicky, Ricky, Dicky & Dawn",tt3596176,"Comedy,Family"
The Last Kingdom,tt4179452,"Action,Drama,History"
Homeland,tt1796960,"Crime,Drama,Mystery"
The Circle,tt9581768,"Game-Show,Reality-TV"
Mr. D,tt2128016,Comedy
Criminal Minds,tt0452046,"Crime,Drama,Mystery"
Crash Landing on You,tt10850932,"Adventure,Comedy,Romance"
"House, M.D.",,
Haikyu!!,tt3398540,"Animation,Comedy,Drama"
