crawl_date,show_date,show_desc,show_genre,show_id,show_name,show_rate,show_vote_cnt,similar_show
2024-04-17T16:44,2011–2021,"A scrappy, feisty, fiercely loyal Chicago family makes no apologies.","Comedy,Drama",tt1586680,Shameless,8.5,284K,"Breaking Bad,Friends,Stranger Things,Euphoria,Suits,The Office,The Boys,Game of Thrones,The Walking Dead,The Big Bang Theory,House,Modern Family"
2024-04-17T16:44,2009–2023,Covert black ops and espionage take a back seat to zany personalities and relationships between secret agents and drones.,"Animation,Action,Comedy",tt1486217,Archer,8.6,166K,"Futurama,South Park,Arrested Development,The Simpsons,Bob's Burgers,Rick and Morty,It's Always Sunny in Philadelphia,BoJack Horseman,Community,Parks and Recreation,Chappelle's Show,American Dad!"
2024-04-17T16:44,2005–,"Budding entrepreneurs, inventors, and small businessmen pitch their ideas to five ""dragons""--real-life business leaders and millionaires.","Game-Show,Reality-TV",tt0443370,Dragons' Den,6.9,2.5K,"The Apprentice UK,The Chase,Who Wants to Be a Millionaire,Dragons' Den,I'm a Celebrity, Get Me Out of Here!,Come Dine with Me,Pointless,Ant & Dec's Saturday Night Takeaway,Michael McIntyre's Big Show,Gogglebox,The Wheel,The Graham Norton Show"
2024-04-17T16:44,2019–,Docuseries following the FIA Formula One World Championship across multiple seasons.,"Documentary,Sport",tt8289930,Formula 1: Drive to Survive,8.5,51K,"The Grand Tour,Top Gear,Schumacher,Clarkson's Farm,The Last Dance,Formula 1,Beckham,Full Swing,Greatest Events of WWII in Colour,Break Point,The Simpsons,Planet Earth II"
2024-04-17T16:44,2007–2017,"Naruto Uzumaki, is a loud, hyperactive, adolescent ninja who constantly searches for approval and recognition, as well as to become Hokage, who is acknowledged as the leader and strongest of...","Animation,Action,Adventure",tt0988824,Naruto: Shippuden,8.7,168K,"Naruto,Death Note,Hunter x Hunter,Jujutsu Kaisen,Demon Slayer: Kimetsu no Yaiba,Attack on Titan,Dragon Ball Z,Boruto: Naruto Next Generations,Bleach,One Piece,Vinland Saga,Bleach: Thousand-Year Blood War"
2024-04-17T16:44,2014–2019,"A young, devout Catholic woman discovers that she was accidentally artificially inseminated.",Comedy,tt3566726,Jane the Virgin,7.9,59K,"Pretty Little Liars,Ginny & Georgia,Gossip Girl,Never Have I Ever,New Girl,The Good Place,Bridgerton,Gilmore Girls,Emily in Paris,Good Girls,Juana la virgen,Queen Charlotte: A Bridgerton Story"
2024-04-17T16:44,2014–2020,A group of ambitious law students and their brilliant criminal defense professor become involved in a twisted murder plot that promises to change the course of their lives.,"Crime,Drama,Mystery",tt3205802,How to Get Away with Murder,8.1,166K,"13 Reasons Why,You,Orange Is the New Black,Pretty Little Liars,Scandal,Gossip Girl,Sex Education,Emily in Paris,Good Girls,Money Heist,Ginny & Georgia,Bridgerton"
2024-04-17T16:44,2011–2014,"Gon Freecss aspires to become a Hunter, an exceptional being capable of greatness. With his friends and his potential, he seeks out his father, who left him when he was younger.","Animation,Action,Adventure",tt2098220,Hunter x Hunter,9.0,134K,"Jujutsu Kaisen,Attack on Titan,Death Note,Naruto: Shippuden,The Apothecary Diaries,One Piece,Dragon Ball Z,Frieren: Beyond Journey's End,Demon Slayer: Kimetsu no Yaiba,Naruto,Hunter x Hunter,Vinland Saga"
2024-04-17T16:44,2015–2017,"A chronicled look at the criminal exploits of Colombian drug lord Pablo Escobar, as well as the many other drug kingpins who plagued the country through the years.","Biography,Crime,Drama",tt2707408,Narcos,8.8,469K,"Narcos: Mexico,Chernobyl,Peaky Blinders,House of Cards,Black Mirror,Better Call Saul,Breaking Bad,The Queen's Gambit,Mindhunter,Money Heist,The Last Dance,Game of Thrones"
2024-04-17T16:44,2007–,"A multi-generational saga set in Alberta, Canada and centered on a family getting through life together in both happy and trying times.","Drama,Family",tt1094229,Heartland,8.5,20K,"A Heartland Christmas,Chesapeake Shores,When Calls the Heart,Little House on the Prairie,A Summer to Remember,An Evergreen Christmas,Wildfire,The Good Witch's Wonder,Remedy,Paw Patrol: Jet to the Rescue,The Good Witch,Full House"
2024-04-17T16:44,2015–2019,"Following the tragic end of her brief superhero career, Jessica Jones tries to rebuild her life as a private investigator, dealing with cases involving people with remarkable abilities in Ne...","Action,Crime,Drama",tt2357547,Jessica Jones,7.9,227K,"Luke Cage,The Defenders,Iron Fist,Daredevil,The Punisher,Agent Carter,Agents of S.H.I.E.L.D.,WandaVision,The Falcon and the Winter Soldier,Hawkeye,Moon Knight,Arrow"
2024-04-17T16:44,2004–2012,"Using a crack team of doctors and his wits, an antisocial maverick doctor specializing in diagnostic medicine does whatever it takes to solve puzzling cases that come his way.","Drama,Mystery",tt0412142,House,8.7,512K,"Suits,The Boys,Sherlock,The Office,Friends,The Big Bang Theory,Stranger Things,Game of Thrones,Breaking Bad,Shameless,Supernatural,Brooklyn Nine-Nine"
2024-04-17T16:44,2015–2018,"A blind lawyer by day, vigilante by night. Matt Murdock fights the crime of New York as Daredevil.","Action,Crime,Drama",tt3322312,Daredevil,8.6,474K,"The Punisher,The Defenders,Jessica Jones,Luke Cage,Iron Fist,Daredevil: Born Again,Moon Knight,Loki,Hawkeye,WandaVision,Daredevil,The Boys"
2024-04-17T16:44,2017–2019,"After his revenge on those who murdered his family, aimless Marine veteran Frank Castle finds a new meaning in life as a vigilante known as ""The Punisher"".","Action,Crime,Drama",tt5675620,The Punisher,8.4,265K,"Daredevil,Luke Cage,Jessica Jones,The Defenders,Iron Fist,The Punisher,Moon Knight,Prison Break,The Punisher,Punisher: War Zone,Arrow,WandaVision"
2024-04-17T16:44,2020,"Orphaned at the tender age of nine, prodigious introvert Beth Harmon discovers and masters the game of chess in 1960s USA. But child stardom comes at a price.",Drama,tt10048342,The Queen's Gambit,8.5,551K,"Squid Game,Chernobyl,Stranger Things,Peaky Blinders,Black Mirror,Sherlock,Breaking Bad,Game of Thrones,Money Heist,The Last of Us,The Queens Gamble,Friends"
2024-04-17T16:44,2017–2019,"In the late 1970s, two FBI agents broaden the realm of criminal science by investigating the psychology behind murder and end up getting too close to real-life monsters.","Crime,Drama,Mystery",tt5290382,Mindhunter,8.6,335K,"The Queen's Gambit,House of Cards,Chernobyl,Narcos,Dark,Ozark,Peaky Blinders,Sherlock,Mind Hunter,Black Mirror,Mr. Robot,Westworld"
